Logical_Thinking,Creativity,Analytical_Skills,Social_Interaction,Communication,Self_Motivation,Risk_Taking,Adaptability,Emotional_Intelligence,Technical_Skills,Decision_Making,Leadership,Curiosity,Career
9,3,9,5,6,8,5,7,6,9,8,7,7,Engineer
8,2,8,4,5,7,4,6,5,9,7,6,6,Engineer
7,5,8,6,7,9,6,8,6,8,7,6,9,Data Scientist
6,4,9,5,6,8,5,7,5,8,6,5,8,Data Scientist
5,9,4,7,8,7,7,6,8,4,5,4,8,Artist
4,8,3,8,9,6,6,7,9,3,4,3,9,Artist
7,7,6,7,8,8,7,7,7,7,6,6,8,Designer
3,9,5,8,9,7,7,6,9,3,5,4,9,Designer
8,4,9,6,7,8,5,7,6,9,8,7,6,Doctor
9,3,10,5,6,9,4,6,5,9,7,6,5,Doctor
6,6,7,6,7,7,6,7,7,7,6,5,6,Researcher
7,5,8,5,6,8,5,6,6,8,7,6,7,Researcher
6,5,6,7,8,7,6,6,7,6,5,5,8,Business Analyst
5,6,5,8,9,8,7,6,8,4,6,6,7,Entrepreneur
7,8,5,6,7,9,8,7,7,6,7,6,9,Marketing Specialist
8,7,6,5,6,8,6,6,6,9,8,7,8,Software Developer
9,6,7,4,5,7,5,5,5,9,7,6,7,Software Developer
7,5,9,5,6,8,5,6,6,9,8,7,8,AI Engineer
8,4,10,4,5,9,4,5,5,10,9,8,7,AI Engineer
6,8,4,7,8,7,7,6,8,4,5,4,9,Writer
5,9,3,8,9,6,6,7,9,3,4,3,9,Writer
6,7,5,7,8,7,7,6,8,4,5,4,9,Musician
4,9,3,8,9,6,6,7,9,3,4,3,9,Musician
6,4,8,7,8,8,7,7,7,7,6,6,8,Lawyer
7,3,9,6,7,7,6,7,7,7,6,5,6,Lawyer
6,5,8,5,6,8,5,6,6,8,7,6,7,Economist
7,4,9,5,6,9,4,5,5,9,8,7,6,Economist
8,7,5,5,6,8,6,6,6,9,8,7,8,Architect
7,9,4,4,5,7,5,5,5,9,7,6,7,Architect
9,5,6,6,7,7,6,7,7,7,6,5,6,Psychologist
8,6,5,5,6,8,5,6,6,8,7,6,7,Psychologist
8,3,9,6,7,7,6,7,7,7,6,5,6,Scientist
9,2,10,5,6,9,4,5,5,9,8,7,6,Scientist
7,6,8,7,8,8,7,7,7,7,6,6,8,Professor
6,7,7,6,7,7,6,7,7,7,6,5,6,Professor
8,7,6,5,6,8,6,6,6,9,8,7,8,Teacher
7,8,5,4,5,7,5,5,5,9,7,6,7,Teacher
9,4,8,9,8,9,8,9,7,5,8,7,6,YouTuber
8,5,9,9,9,9,9,9,8,4,9,8,7,Influencer
7,6,7,8,8,9,8,8,9,3,7,6,8,Food Vlogger
6,7,6,9,9,9,7,9,9,3,6,5,9,Poet
5,9,4,8,9,8,8,7,9,3,5,4,9,Actor
4,10,3,9,9,7,8,8,9,3,4,3,9,Baker
